listing_id,year,make,model,variant,displacement,transmission,color,mileage,price,city,last_updated
10519473,2014,Honda,City,E,1500,Automatic,Putih,77500,175000000,Daan Mogot,2022-10-17
10350775,2016,Toyota,Sienta,Q,1500,Automatic,Putih,87500,190000000,Gajah Mada,2022-10-17
10225335,2012,Toyota,Alphard,G G,2400,Automatic,Putih,72500,360000000,Menteng,2022-10-17
10382543,2018,Mitsubishi,Xpander,SPORT,1500,Automatic,Merah,17500,210000000,Cinere,2022-10-17
10225237,2016,Honda,HR-V,E Mugen,1500,Automatic,Abu-abu,67500,225000000,Kemanggisan,2022-10-17
10530811,2020,Honda,HR-V,E Special Edition,1500,Automatic,Hitam,17500,307200000,Kalibata,2022-10-17
10157655,2018,Honda,HR-V,Prestige,1800,Automatic,Putih,37500,300000000,Tambun,2022-10-18
10531058,2018,KIA,Grand Sedona,Ultimate,3400,Automatic,Hitam,2500,400000000,Kemayoran,2022-10-17
10531038,2019,Toyota,Kijang Innova,V,2400,Automatic,Hitam,47500,370000000,Cassablanca,2022-10-17
10450432,2000,Toyota,Kijang,LSX-D,2500,Manual,Abu-abu,100000,88000000,Kemayoran,2022-10-17
9975778,2018,Toyota,Rush,TRD Sportivo,1500,Manual,Putih,62500,220000000,Bojong Gede,2022-10-17
10531052,2018,Toyota,Camry,V,2500,Automatic,Hitam,77500,343000000,Grogol,2022-10-17
10432033,2013,Mazda,CX-5,Grand Touring,2500,Automatic,Putih,49000,202000000,Kemayoran,2022-10-17
10531061,2019,Toyota,Kijang Innova,V,2400,Automatic,Hitam,47500,370000000,Bukit Sentul,2022-10-17
10170742,2008,Toyota,Alphard,,2400,Automatic,Abu-abu,65000,182000000,Kemayoran,2022-10-17
10531068,2017,Toyota,Rush,G,1500,Automatic,Hitam,96414,175100000,Kebayoran Lama,2022-10-17
10371220,2008,BENZ,E280,,3000,Automatic,Silver,38000,165000000,Kemayoran,2022-10-17
9824806,2017,Mercedes-Benz,CLA200,AMG,1600,Automatic,Putih,30000,625000000,Kemayoran,2022-10-17
10380187,2018,Toyota,Agya,TRD,1200,Automatic,Abu-abu,61000,129000000,Kemayoran,2022-10-17
10531072,2019,Honda,Brio,RS,1200,Automatic,Hitam,30000,170000000,Mangga Dua,2022-10-17
10380020,1993,Daihatsu,Feroza,,1600,Manual,Biru,80000,68000000,Kemayoran,2022-10-17
9975582,2019,Honda,HR-V,Prestige,1800,Automatic,Hitam,50000,335000000,Kemayoran,2022-10-17
10531084,2010,Hyundai,i10,GL,1100,Manual,Hitam,112500,79600000,Jelambar,2022-10-17
10531087,2019,Toyota,Kijang Innova,V,2400,Automatic,Hitam,42500,370000000,Cileungsi,2022-10-17
10197268,2013,Honda,CR-V,2,2000,Automatic,Abu-abu,141000,190000000,Kemayoran,2022-10-17
10531301,2017,Honda,Jazz,RS,1500,Automatic,Abu-abu,92500,218000000,Bekasi,2022-10-17
9177061,2011,Audi,Q5,TFSI,2000,Automatic,Abu-abu,70000,225000000,Permata Hijau,2022-10-17
10531308,2014,Toyota,Fortuner,G,2500,Automatic,Hitam,82500,302300000,Grogol,2022-10-17
10531298,2021,Suzuki,Carry,WD ACPS,1500,Manual,Silver,22500,113000000,Cikarang,2022-10-17
10531310,2019,Toyota,Rush,TRD Sportivo,1500,Manual,Silver,7500,218000000,Depok,2022-10-17
10531331,2019,Daihatsu,Sigra,R,1200,Automatic,Silver,143001,130100000,Mangga Dua,2022-10-17
9011704,2004,BMW,530i,,3000,Automatic,Hitam,90000,185000000,Mangga Dua,2022-10-17
9942337,2017,Honda,Mobilio,RS,1500,Automatic,Abu-abu,42500,199000000,Gambir,2022-10-17
10531328,2015,Toyota,Avanza,E,1400,Manual,Hitam,47500,123000000,Bekasi Barat,2022-10-17
10531339,2018,Toyota,Fortuner,VRZ,2400,Automatic,Silver,62500,426800000,Sunter,2022-10-17
10531338,2019,Daihatsu,Sigra,D,1000,Manual,Silver,17500,104200000,Pademangan,2022-10-17
10531348,2015,Toyota,Camry,V,2500,Automatic,Hitam,77500,279000000,Cipinang,2022-10-17
10531350,2016,Suzuki,Ertiga,Dreza,1400,Manual,Hitam,102500,154000000,Tanjung Duren,2022-10-17
10531363,2018,Honda,Jazz,,1500,Automatic,Putih,67500,208550000,Pekayon,2022-10-17
10531365,2012,KIA,Picanto,SE 2,1300,Automatic,Merah,57000,90000000,Mangga Dua,2022-10-17
10531236,2015,Toyota,Kijang Innova,G,2000,Automatic,Hitam,37500,188000000,Grogol,2022-10-17
10060593,2017,Toyota,Sienta,Q,1500,Automatic,Hitam,67500,206000000,Bekasi Timur,2022-10-17
10531381,2012,Toyota,Alphard,G G,2400,Automatic,Hitam,102500,370000000,Kelapa Gading,2022-10-17
10524876,2015,Nissan,Grand Livina,Highway Star,1500,Automatic,Hitam,97500,139000000,Bintaro,2022-10-17
10531377,2017,Honda,Jazz,RS,1500,Automatic,Hitam,67500,215000000,Bekasi,2022-10-17
10531389,2022,Toyota,Veloz,Q,1500,Automatic,Putih,2500,266000000,Cakung,2022-10-17
9530275,2018,Honda,Brio,Satya E,1200,Manual,Abu-abu,67500,134000000,Mekarsari,2022-10-17
9667254,2017,Toyota,Rush,G,1500,Automatic,Hitam,72500,168000000,Pal Merah,2022-10-17
9915643,2021,Toyota,Rush,TRD Sportivo,1500,Automatic,Putih,22500,255000000,Gading Serpong,2022-10-17
9292218,2016,Honda,CR-V,,2400,Automatic,Hitam,57500,275000000,Cempaka Putih,2022-10-17
10531492,2014,Pajero,Pajero Sport,Exceed,2500,Automatic,Putih,82000,260000000,Gading Serpong,2022-10-17
10531483,2013,Toyota,Rush,S,1500,Automatic,Putih,117500,151000000,BSD City,2022-10-17
10531489,2017,Fortuner,Fortuner,TRD,2400,Automatic,Silver,98000,380000000,Gading Serpong,2022-10-17
10531494,2018,Terra,Terra,VL,2500,Automatic,Hitam,32000,395000000,Gading Serpong,2022-10-17
10125435,2021,Toyota,Rush,S GR Sport,1500,Automatic,Hitam,17000,265000000,Kelapa Gading,2022-10-17
10324317,2014,Toyota,Agya,G,1000,Automatic,Putih,28000,89000000,Kelapa Gading,2022-10-17
10307582,2017,Daihatsu,Ayla,R,1200,Manual,Putih,37500,116000000,Bintara,2022-10-17
10531506,2016,Nissan,Grand Livina,Highway Star,1500,Automatic,Putih,62500,158000000,Ciputat,2022-10-17
10460861,2017,|,CR-V,Prestige Prestige VTEC,1500,Automatic,Merah,40000,399000000,Sunter,2022-10-17
10531508,2017,Toyota,Alphard,G,2500,Automatic,Hitam,67500,874000000,Cilandak,2022-10-17
