listing_id,year,make,model,variant,displacement,transmission,color,mileage,price,city,last_updated
10519588,2015,Toyota,Avanza,Veloz,1496,Manual,Putih,92500,156000000,Kemang,15 Oktober 2022
10455182,2018,Daihatsu,Terios,R,1496,Automatic,Coklat,52500,217000000,Bogor Kota,15 Oktober 2022
10519590,2016,Honda,BR-V,E,1497,Automatic,Abu-abu,177500,179000000,Bogor,15 Oktober 2022
10516840,2016,Suzuki,Ertiga,Dreza,1373,Automatic,Ungu,27500,158000000,Mangga Dua,15 Oktober 2022
10519597,2020,Toyota,Rush,TRD Sportivo,1496,Automatic,Putih,17500,236000000,Cimanggis,15 Oktober 2022
9612235,2020,Daihatsu,Terios,X,1496,Manual,Putih,37500,218000000,Jaka Sampurna,15 Oktober 2022
10516926,2020,Honda,HR-V,E Special Edition,1497,Automatic,Abu-abu,7500,307000000,Kemayoran,15 Oktober 2022
10519605,2017,Nissan,Serena,X,1997,Automatic,Abu-abu,72500,222000000,Bogor,15 Oktober 2022
10515888,2021,Honda,HR-V,E,1497,Automatic,Abu-abu,27500,299000000,Kemayoran,15 Oktober 2022
10519600,2015,Honda,HR-V,Prestige,1799,Automatic,Hitam,97500,272000000,Bogor,15 Oktober 2022
10519608,2016,Honda,BR-V,E,1497,Automatic,Abu-abu,52500,185000000,Bogor,15 Oktober 2022
10514640,2019,Toyota,Fortuner,TRD,2393,Automatic,Hitam,42500,469000000,Gunung Sahari,15 Oktober 2022
10516340,2017,Toyota,Fortuner,TRD,2393,Automatic,Hitam,42500,419000000,Kemayoran,15 Oktober 2022
10519614,2018,Suzuki,Ertiga,GX,1373,Manual,Abu-abu,87500,177000000,Ciracas,15 Oktober 2022
10519613,2016,Toyota,Fortuner,VRZ,2393,Automatic,Abu-abu,42500,403000000,Alam Sutera,15 Oktober 2022
10519392,2016,Toyota,Avanza,Veloz,1496,Automatic,Merah,67500,171000000,Bogor,15 Oktober 2022
10517840,2018,Toyota,Calya,G,1197,Manual,Hitam,72500,121000000,Cibinong,15 Oktober 2022
10516894,2017,Toyota,Agya,TRD,1197,Automatic,Kuning,57500,122000000,Mangga Dua,15 Oktober 2022
10519407,2017,Toyota,Avanza,E,1329,Manual,Silver,27500,144000000,Jababeka,15 Oktober 2022
